LocationCode,DateTime,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
9,2024-09-16 14:34:10.000,0,999.42,33.68,64.38,6168.33,8.01
9,2024-09-16 14:35:07.000,0,999.39,33.8,62.88,6454.17,9.59
9,2024-09-16 14:36:07.000,0,999.42,33.79,63.45,5840.83,7.29
9,2024-09-16 14:37:07.000,0,999.42,33.81,63.16,5847.5,7.34
9,2024-09-16 14:38:07.000,0,999.49,33.82,63.43,5615,6.69
9,2024-09-16 14:39:07.000,0,999.5,33.8,63.25,5075.83,4.73
9,2024-09-16 14:40:07.000,0,999.52,33.76,63.7,5162.5,5.13
9,2024-09-16 14:41:07.000,0,999.51,33.72,63,5737.5,6.74
9,2024-09-16 14:42:07.000,0,999.56,33.74,62.54,6066.67,7.93
9,2024-09-16 14:43:07.000,0,999.51,33.73,63.51,5606.67,6.3
9,2024-09-16 14:44:07.000,0,999.53,33.72,63.59,6385,8.88
9,2024-09-16 14:45:07.000,0,999.52,33.65,63.42,6320,7.93
9,2024-09-16 14:46:07.000,0,999.5,33.71,63.87,6894.17,9.67
9,2024-09-16 14:47:07.000,0,999.53,33.78,64.34,8036.67,14.56
9,2024-09-16 14:48:07.000,0,999.52,33.79,64.5,8870.83,18.19
9,2024-09-16 14:49:07.000,0,999.54,33.81,64.44,9407.5,20.61
9,2024-09-16 14:50:07.000,0,999.55,33.88,63.5,10413.33,25.5
9,2024-09-16 14:51:07.000,0,999.53,33.93,62.37,11305.83,29.43
9,2024-09-16 14:52:07.000,0,999.57,33.98,62.58,12389.17,36.18
9,2024-09-16 14:53:07.000,0,999.55,33.86,60.52,12800,37.68
9,2024-09-16 14:54:07.000,0,999.62,33.95,61.57,12515,36.11
9,2024-09-16 14:55:07.000,0,999.63,33.87,62.37,11983.33,32.82
9,2024-09-16 14:56:07.000,0,999.69,33.62,62.57,11082.5,27.13
9,2024-09-16 14:57:07.000,0,999.68,33.54,64.1,10105,22.52
9,2024-09-16 14:58:07.000,0,999.73,33.5,64.42,9123.33,18.11
9,2024-09-16 14:59:07.000,0,999.77,33.43,67.59,8313.33,14.82
9,2024-09-16 15:00:07.000,0,999.74,33.33,65.36,7966.67,13.69
9,2024-09-16 15:01:07.000,0,999.72,33.3,65.95,8112.5,14.41
9,2024-09-16 15:02:07.000,0,999.69,33.27,65.37,8810,16.64
9,2024-09-16 15:03:07.000,0,999.75,33.31,66.6,9309.17,18.97
9,2024-09-16 15:04:07.000,0,999.69,33.29,67.65,9368.33,19.01
9,2024-09-16 15:05:07.000,0,999.73,33.39,67.35,9848.33,20.75
9,2024-09-16 15:06:07.000,0,999.7,33.55,67.47,10675,23.9
