LocationCode,DateTime,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
12,2024-09-16 15:09:10.000,0,1001.33,37.81,100,7627.5,46.55
12,2024-09-16 15:10:07.000,0,1001.35,37.8,100,10675,67.72
12,2024-09-16 15:11:07.000,0,1001.35,37.4,100,10687.5,68.08
12,2024-09-16 15:12:07.000,0,1001.37,37.16,100,10085,61.39
12,2024-09-16 15:13:07.000,0,1001.37,37.03,100,9493.33,55.87
12,2024-09-16 15:14:07.000,0,1001.37,36.89,100,9392.5,55.54
12,2024-09-16 15:15:07.000,0,1001.4,36.6,100,9520,55
12,2024-09-16 15:16:07.000,0,1001.43,36.22,100,9855,57.12
12,2024-09-16 15:17:07.000,0,1001.45,35.85,100,10005.83,58.09
12,2024-09-16 15:18:07.000,0,1001.47,35.85,100,10052.5,56.28
12,2024-09-16 15:19:07.000,0,1001.44,35.82,100,10498.33,59.83
12,2024-09-16 15:20:07.000,0,1001.5,35.8,100,11629.17,72.12
12,2024-09-16 15:21:07.000,0,1001.48,35.71,100,12677.5,89.08
12,2024-09-16 15:22:07.000,0,1001.47,35.7,100,12778.33,96.02
12,2024-09-16 15:23:07.000,0,1001.46,35.69,100,12525.83,95.64
12,2024-09-16 15:24:07.000,0,1001.49,35.79,100,11836.67,87
12,2024-09-16 15:25:07.000,0,1001.45,35.81,100,12536.67,98.53
12,2024-09-16 15:26:07.000,0,1001.46,35.78,100,12906.67,105.99
12,2024-09-16 15:27:07.000,0,1001.46,35.91,100,14063.33,111.6
12,2024-09-16 15:28:07.000,0,1001.49,35.93,100,15333.33,120.08
12,2024-09-16 15:29:07.000,0,1001.5,36,100,16068.33,122.58
12,2024-09-16 15:30:07.000,0,1001.53,35.96,100,14637.5,102.82
12,2024-09-16 15:31:07.000,0,1001.5,35.91,100,12899.17,81.65
12,2024-09-16 15:32:07.000,0,1001.5,35.76,100,11138.33,62.61
12,2024-09-16 15:33:07.000,0,1001.6,35.59,100,9624.17,49.59
12,2024-09-16 15:34:07.000,0,1001.57,35.5,100,7356.67,30.74
12,2024-09-16 15:35:07.000,0,1001.59,35.44,100,5925.83,22.39
12,2024-09-16 15:36:07.000,0,1001.59,35.35,100,5970,23.8
12,2024-09-16 15:37:07.000,0,1001.56,35.22,100,6815,28.42
12,2024-09-16 15:38:07.000,0,1001.57,35.18,100,7434.17,32.01
12,2024-09-16 15:39:07.000,0,1001.56,35.09,100,7786.67,34.7
12,2024-09-16 15:40:07.000,0,1001.61,34.99,100,8851.67,42.41
12,2024-09-16 15:41:07.000,0,1001.59,35.04,100,9212.5,46.96
12,2024-09-16 15:42:07.000,0,1001.63,35.06,100,8998.33,47.23
12,2024-09-16 15:43:07.000,0,1001.61,35.08,100,8358.33,39.78
12,2024-09-16 15:44:07.000,0,1001.61,35.08,100,7879.17,34.6
12,2024-09-16 15:45:07.000,0,1001.6,35.05,100,8155.83,38.91
12,2024-09-16 15:46:07.000,0,1001.61,35.02,100,8700,45.42
12,2024-09-16 15:47:07.000,0,1001.64,34.96,100,9131.67,50.81
12,2024-09-16 15:48:07.000,0,1001.61,34.97,100,9467.5,54.8
12,2024-09-16 15:49:07.000,0,1001.61,34.96,100,9557.5,54.71
12,2024-09-16 15:50:07.000,0,1001.61,35.04,100,9855,55.95
12,2024-09-16 15:51:07.000,0,1001.68,34.97,100,10340,57.88
12,2024-09-16 15:52:07.000,0,1001.67,34.82,100,8424.17,41.94
12,2024-09-16 15:53:07.000,0,1001.7,34.75,100,8699.17,43.61
12,2024-09-16 15:54:07.000,0,1001.7,34.6,100,8535.83,42.7
