LocationCode,DateTime,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
7,2024-05-17 16:54:50.000,0,1006.37,27.06,61.03,3382.5,2
7,2024-05-17 16:55:48.000,4.09,1006.39,27.2,60.55,3457.5,2.03
7,2024-05-17 16:56:48.000,3.66,1006.37,27.28,60.36,3247.5,1.77
7,2024-05-17 16:57:48.000,0,1006.4,27.33,60.17,3678.33,2.31
7,2024-05-17 16:58:48.000,0,1006.37,27.35,60.08,3598.33,2.13
7,2024-05-17 16:59:48.000,0,1006.4,27.36,60.16,3625,2.17
7,2024-05-17 17:00:48.000,1.48,1006.4,27.34,60.21,3466.67,2.07
7,2024-05-17 17:01:48.000,5.14,1006.42,27.34,60.15,3305,1.82
7,2024-05-17 17:02:48.000,0,1006.42,27.33,60.19,3190,1.77
7,2024-05-17 17:03:48.000,0,1006.33,27.27,60.23,3185.83,1.77
7,2024-05-17 17:04:48.000,0,1006.46,27.29,60.48,3290.83,1.78
7,2024-05-17 17:05:48.000,0,1006.39,27.28,60.47,3520,2
7,2024-05-17 17:06:48.000,0,1006.44,27.27,60.76,3639.17,2.12
7,2024-05-17 17:07:48.000,0,1006.45,27.25,60.43,3502.5,2
7,2024-05-17 17:08:48.000,0,1006.5,27.23,60.67,3223.33,1.74
7,2024-05-17 17:09:48.000,0,1006.52,27.22,60.41,2942.5,1.48
7,2024-05-17 17:10:48.000,0,1006.54,27.2,60.32,2706.67,1.23
7,2024-05-17 17:11:48.000,0,1006.55,27.19,60.48,2495.83,1.03
7,2024-05-17 17:12:48.000,0,1006.56,27.2,60.74,2352.5,0.96
7,2024-05-17 17:13:48.000,0,1006.58,27.21,60.73,2285,0.95
7,2024-05-17 17:14:48.000,0,1006.61,27.17,60.38,2323.33,0.96
7,2024-05-17 17:15:48.000,0,1006.59,27.11,60.59,2413.33,1
7,2024-05-17 17:16:48.000,0,1006.59,27.05,60.84,2430.83,1
7,2024-05-17 17:17:48.000,0,1006.57,26.97,61.26,2347.5,0.94
7,2024-05-17 17:18:48.000,0,1006.58,26.92,61.68,2201.67,0.82
7,2024-05-17 17:19:48.000,0,1006.59,26.87,62.04,2046.67,0.77
7,2024-05-17 17:20:48.000,0,1006.56,26.85,62.57,1928.33,0.62
7,2024-05-17 17:21:48.000,0,1006.56,26.83,63.75,1865,0.6
7,2024-05-17 17:22:48.000,0,1006.6,26.82,65.61,1845,0.63
7,2024-05-17 17:23:48.000,0,1006.62,26.77,66.6,1820,0.62
7,2024-05-17 17:24:48.000,0,1006.6,26.68,66.59,1798.33,0.58
7,2024-05-17 17:25:48.000,0.17,1006.58,26.53,70.76,1755.83,0.6
7,2024-05-17 17:26:48.000,0,1006.61,26.32,70.62,1748.33,0.61
7,2024-05-17 17:27:48.000,0,1006.62,26.05,71.57,1737.5,0.59
7,2024-05-17 17:28:48.000,0,1006.62,25.83,74.9,1715.83,0.6
7,2024-05-17 17:29:48.000,0,1006.64,25.67,77.97,1732.5,0.61
7,2024-05-17 17:30:48.000,0,1006.6,25.5,76.51,1805,0.64
7,2024-05-17 17:31:48.000,0,1006.55,25.34,76.31,1935,0.77
7,2024-05-17 17:32:48.000,3.05,1006.55,25.2,76.72,2076.67,0.92
