LocationCode,DateTime,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
4,2024-04-18 05:17:06.000,0,1001.65,24.76,83.5,23.33,0
4,2024-04-18 05:18:06.000,0,1001.67,24.78,83.34,29.17,0
4,2024-04-18 05:19:06.000,0,1001.7,24.78,83.48,37.5,0
4,2024-04-18 05:20:06.000,0,1001.71,24.8,83.49,46.67,0
4,2024-04-18 05:21:06.000,0,1001.71,24.81,83.43,59.17,0
4,2024-04-18 05:22:06.000,0,1001.69,24.81,83.37,73.33,0
4,2024-04-18 05:23:06.000,0,1001.67,24.82,83.18,90.83,0
4,2024-04-18 05:24:06.000,0,1001.7,24.81,83.23,113.33,0
4,2024-04-18 05:25:06.000,0,1001.72,24.8,83.29,140,0.02
4,2024-04-18 05:26:06.000,0,1001.72,24.8,83.04,176.67,0.02
4,2024-04-18 05:27:06.000,0,1001.69,24.79,83.32,214.17,0.02
4,2024-04-18 05:28:06.000,0,1001.69,24.78,83.36,256.67,0.03
4,2024-04-18 05:29:06.000,0,1001.71,24.77,83.34,306.67,0.04
4,2024-04-18 05:30:06.000,0,1001.67,24.76,83.17,351.67,0.04
4,2024-04-18 05:31:06.000,0,1001.6,24.76,83.31,395.83,0.07
4,2024-04-18 05:32:06.000,0,1001.58,24.77,83.44,445,0.07
4,2024-04-18 05:33:06.000,0,1001.56,24.77,83.21,501.67,0.08
4,2024-04-18 05:34:06.000,0,1001.54,24.76,83.17,567.5,0.09
4,2024-04-18 05:35:06.000,0,1001.53,24.76,82.73,641.67,0.14
4,2024-04-18 05:36:06.000,0,1001.52,24.77,82.55,714.17,0.15
4,2024-04-18 05:37:06.000,0,1001.46,24.77,82.24,785,0.16
4,2024-04-18 05:38:06.000,0,1001.42,24.78,81.48,855.83,0.23
4,2024-04-18 05:39:06.000,1.13,1001.39,24.79,81.85,952.5,0.23
4,2024-04-18 05:40:06.000,0.35,1001.35,24.82,81.38,1076.67,0.31
4,2024-04-18 05:41:06.000,0,1001.35,24.84,81.49,1230,0.37
4,2024-04-18 05:42:06.000,0,1001.33,24.84,81.49,1433.33,0.5
4,2024-04-18 05:43:06.000,0.17,1001.3,24.86,81.24,1673.33,0.7
4,2024-04-18 05:44:06.000,1.22,1001.22,24.86,81.11,1885,0.88
4,2024-04-18 05:45:06.000,0.26,1001.18,24.9,80.89,2070.83,1.1
4,2024-04-18 05:46:06.000,0.7,1001.2,24.94,80.85,2296.67,1.33
4,2024-04-18 05:47:06.000,0.78,1001.15,24.97,80.61,2590,1.62
4,2024-04-18 05:48:06.000,0.35,1001.15,25,80.56,2940.83,2.2
4,2024-04-18 05:49:06.000,0,1001.11,25.05,80.4,3350.83,2.85
4,2024-04-18 05:50:06.000,0,1001.07,25.11,80.04,3760.83,3.56
4,2024-04-18 05:51:06.000,0.17,1001.05,25.16,79.87,4128.33,4.22
4,2024-04-18 05:52:06.000,0,1001.02,25.23,79.54,4525,5.07
4,2024-04-18 05:53:06.000,0.17,1001.03,25.31,79.29,4959.17,6.1
4,2024-04-18 05:54:06.000,0.52,1000.98,25.37,79.11,5382.5,7.13
4,2024-04-18 05:55:06.000,0,1000.98,25.46,79.02,5840.83,8.04
4,2024-04-18 05:56:06.000,0.52,1000.93,25.53,78.85,6355.83,9.3
4,2024-04-18 05:57:06.000,0.96,1000.92,25.6,78.52,6990,10.68
4,2024-04-18 05:58:06.000,0.17,1000.85,25.7,78.34,7689.17,12.65
4,2024-04-18 05:59:06.000,0,1000.87,25.78,77.68,8348.33,14.42
4,2024-04-18 06:00:06.000,0,1000.86,25.87,77.69,8839.17,15.91
4,2024-04-18 06:01:06.000,0,1000.87,25.96,77.07,9200,17.02
4,2024-04-18 06:02:06.000,0.26,1000.88,26.04,76.94,9455,17.83
4,2024-04-18 06:03:06.000,0.7,1000.89,26.08,76.67,9615.83,18.02
4,2024-04-18 06:04:06.000,0,1000.92,26.12,76.7,9726.67,18.53
4,2024-04-18 06:05:06.000,0,1000.93,26.18,76.42,9824.17,18.61
4,2024-04-18 06:06:06.000,0.61,1000.98,26.25,76.17,9871.67,18.85
4,2024-04-18 06:07:06.000,0,1001.01,26.35,75.93,9874.17,18.85
4,2024-04-18 06:08:06.000,0,1001.05,26.44,75.74,9858.33,18.96
4,2024-04-18 06:09:06.000,0,1001.08,26.56,75.45,9830.83,19.48
4,2024-04-18 06:10:06.000,0,1001.06,26.73,74.89,9855.83,19.73
4,2024-04-18 06:11:06.000,0,1001.04,26.89,74,9940,20.75
4,2024-04-18 06:12:06.000,0,1001.03,27,72.68,10046.67,20.58
4,2024-04-18 06:13:06.000,0,1001.08,27.08,71.96,10124.17,19.76
4,2024-04-18 06:14:06.000,0,1001.03,27.15,72.12,10160,19.57
4,2024-04-18 06:15:06.000,0,1001.04,27.2,71.24,10162.5,19.09
4,2024-04-18 06:16:06.000,0,1000.99,27.26,71.21,10120,19.04
4,2024-04-18 06:17:06.000,0,1001.01,27.33,70.82,10064.17,18.85
4,2024-04-18 06:18:06.000,0,1001.01,27.36,70.76,10034.17,18.85
4,2024-04-18 06:19:06.000,0,1000.99,27.38,70.64,10055.83,18.45
4,2024-04-18 06:20:06.000,0.52,1000.95,27.37,70.88,10160.83,18.48
4,2024-04-18 06:21:06.000,0.78,1001.03,27.33,70.81,10352.5,18.53
4,2024-04-18 06:22:06.000,1.13,1001.01,27.29,71.32,10618.33,18.85
4,2024-04-18 06:23:06.000,0.35,1001.07,27.28,71.44,10917.5,19.73
4,2024-04-18 06:24:06.000,0,1001.1,27.27,71,11232.5,21.38
4,2024-04-18 06:25:06.000,0.61,1001.13,27.29,70.96,11546.67,22.58
4,2024-04-18 06:26:06.000,1.22,1001.12,27.26,69.95,11940,24.56
4,2024-04-18 06:27:06.000,0.35,1001.04,27.27,70.08,12425,27.26
4,2024-04-18 06:28:06.000,0.52,1001.05,27.34,68.82,12775,29.6
4,2024-04-18 06:29:06.000,0.61,1001.05,27.43,68.18,12832.5,31.62
4,2024-04-18 06:30:06.000,0.44,1001.04,27.52,67.01,12601.67,31.82
4,2024-04-18 06:31:06.000,1.39,1001.07,27.6,66.57,12014.17,28.52
4,2024-04-18 06:32:06.000,0.44,1001.08,27.65,66.3,11350.83,24.56
4,2024-04-18 06:33:06.000,0,1001.14,27.64,66.49,10767.5,20.8
4,2024-04-18 06:34:06.000,0.17,1001.18,27.6,67.13,10013.33,16.92
4,2024-04-18 06:35:06.000,0,1001.26,27.57,67.05,9147.5,14.11
4,2024-04-18 06:36:06.000,0,1001.3,27.52,67.76,8355.83,11.84
4,2024-04-18 06:37:06.000,0.44,1001.35,27.5,67.52,7826.67,10.66
4,2024-04-18 06:38:06.000,0.17,1001.36,27.47,67.83,7910,11.14
4,2024-04-18 06:39:06.000,0,1001.38,27.45,67.98,8480,12.61
4,2024-04-18 06:40:06.000,0,1001.42,27.47,68.12,9045,13.74
4,2024-04-18 06:41:06.000,0,1001.48,27.48,68.3,9574.17,15.19
4,2024-04-18 06:42:06.000,0,1001.47,27.49,68.06,10026.67,16.61
4,2024-04-18 06:43:06.000,0,1001.54,27.49,68.1,10325,16.99
4,2024-04-18 06:44:06.000,0,1001.56,27.48,68.56,10397.5,17.71
4,2024-04-18 06:45:06.000,0.96,1001.51,27.42,68.85,10120.83,17.1
4,2024-04-18 06:46:06.000,0,1001.51,27.46,68.76,10281.67,18.53
4,2024-04-18 06:47:06.000,0,1001.41,27.52,69.03,11129.17,20.97
4,2024-04-18 06:48:06.000,0,1001.41,27.6,68.75,12213.33,24.62
4,2024-04-18 06:49:06.000,0,1001.41,27.66,68.63,12799.17,26
4,2024-04-18 06:50:06.000,0,1001.41,27.71,68.5,12853.33,26.13
4,2024-04-18 06:51:06.000,1.05,1001.46,27.7,68.67,12808.33,25.08
4,2024-04-18 06:52:06.000,0.17,1001.47,27.71,68.83,12308.33,22.7
4,2024-04-18 06:53:06.000,0,1001.53,27.74,68.8,10826.67,18.56
4,2024-04-18 06:54:06.000,0.78,1001.56,27.7,69.02,9640,15.34
4,2024-04-18 06:55:06.000,0,1001.58,27.73,69.26,9173.33,14.9
4,2024-04-18 06:56:06.000,0,1001.58,27.78,69.2,8933.33,14.14
4,2024-04-18 06:57:06.000,0.17,1001.59,27.81,68.79,8754.17,13.6
4,2024-04-18 06:58:06.000,0,1001.68,27.83,68.92,8820.83,13.4
4,2024-04-18 06:59:06.000,0,1001.71,27.86,68.9,9230.83,13.71
4,2024-04-18 07:00:06.000,0,1001.72,27.9,68.84,9794.17,15.12
4,2024-04-18 07:01:06.000,0,1001.76,27.95,68.44,10409.17,16.87
4,2024-04-18 07:02:06.000,0,1001.74,28,68.55,11032.5,18.93
