LocationCode,DateTime,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
11,2024-02-28 06:04:46.000,0,1017.09,16.03,87.67,21.67,0
11,2024-02-28 06:05:46.000,0,1017.07,16,87.51,25.83,0.01
11,2024-02-28 06:06:46.000,0,1017.05,15.98,87.89,31.67,0.01
11,2024-02-28 06:07:46.000,0,1017.06,15.97,88.06,39.17,0
11,2024-02-28 06:08:46.000,0,1017.06,15.94,87.97,47.5,0.01
11,2024-02-28 06:09:46.000,0,1017.07,15.93,88.19,54.17,0.01
11,2024-02-28 06:10:46.000,0,1017.09,15.91,88.34,59.17,0.01
11,2024-02-28 06:11:46.000,0,1017.1,15.9,88.45,60.83,0.01
11,2024-02-28 06:12:46.000,0,1017.1,15.88,88.36,60.83,0.01
11,2024-02-28 06:13:46.000,0,1017.1,15.87,88.37,55.83,0.01
11,2024-02-28 06:14:46.000,0,1017.1,15.85,88.3,62.5,0.01
11,2024-02-28 06:15:46.000,0,1017.1,15.83,88,69.17,0
11,2024-02-28 06:16:46.000,0,1017.1,15.82,87.81,77.5,0.01
11,2024-02-28 06:17:46.000,0,1017.12,15.82,87.62,85.83,0.01
11,2024-02-28 06:18:46.000,0,1017.1,15.82,87.51,95.83,0.02
11,2024-02-28 06:19:46.000,0,1017.15,15.82,87.49,110,0.01
11,2024-02-28 06:20:46.000,0,1017.12,15.81,87.37,124.17,0.02
11,2024-02-28 06:21:46.000,0,1017.09,15.8,87.26,140.83,0.02
11,2024-02-28 06:22:46.000,0,1017.09,15.81,87.21,164.17,0.02
11,2024-02-28 06:23:46.000,0,1017.14,15.8,87.03,192.5,0.03
11,2024-02-28 06:24:46.000,0,1017.15,15.79,86.91,227.5,0.06
11,2024-02-28 06:25:46.000,0,1017.14,15.79,87.03,267.5,0.06
11,2024-02-28 06:26:46.000,0,1017.13,15.78,87.01,320.83,0.12
11,2024-02-28 06:27:46.000,0,1017.17,15.78,86.86,383.33,0.15
11,2024-02-28 06:28:46.000,0,1017.19,15.78,86.91,443.33,0.17
11,2024-02-28 06:29:46.000,0,1017.22,15.78,86.94,503.33,0.24
11,2024-02-28 06:30:46.000,0,1017.24,15.76,87,552.5,0.31
11,2024-02-28 06:31:46.000,0,1017.24,15.75,86.97,605.83,0.33
11,2024-02-28 06:32:46.000,0,1017.27,15.75,86.84,667.5,0.38
11,2024-02-28 06:33:46.000,0,1017.26,15.76,86.79,729.17,0.46
11,2024-02-28 06:34:46.000,0,1017.27,15.79,86.71,780,0.56
11,2024-02-28 06:35:46.000,0,1017.26,15.81,86.67,825.83,0.5
