year,month,day,hour,minute,weekday,LocationCode,hour_sin,hour_cos,minute_sin,minute_cos,month_sin,month_cos,quarter,day_of_year,week_of_year,hour_squared,time_of_day
2024,1,17,9,0,2,01,0.7071067811865476,-0.7071067811865475,0.0,1.0,0.49999999999999994,0.8660254037844387,0,17,3,81,0
2024,1,17,9,10,2,01,0.7071067811865476,-0.7071067811865475,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0,17,3,81,0
2024,1,17,9,20,2,01,0.7071067811865476,-0.7071067811865475,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387,0,17,3,81,0
2024,1,17,9,30,2,01,0.7071067811865476,-0.7071067811865475,5.66553889764798e-16,-1.0,0.49999999999999994,0.8660254037844387,0,17,3,81,0
2024,1,17,9,40,2,01,0.7071067811865476,-0.7071067811865475,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,0.8660254037844387,0,17,3,81,0
2024,1,17,9,50,2,01,0.7071067811865476,-0.7071067811865475,-0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0,17,3,81,0
2024,1,17,10,0,2,01,0.49999999999999994,-0.8660254037844387,0.0,1.0,0.49999999999999994,0.8660254037844387,0,17,3,100,0
2024,1,17,10,10,2,01,0.49999999999999994,-0.8660254037844387,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0,17,3,100,0
2024,1,17,10,20,2,01,0.49999999999999994,-0.8660254037844387,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387,0,17,3,100,0
2024,1,17,10,30,2,01,0.49999999999999994,-0.8660254037844387,5.66553889764798e-16,-1.0,0.49999999999999994,0.8660254037844387,0,17,3,100,0
2024,1,17,10,40,2,01,0.49999999999999994,-0.8660254037844387,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,0.8660254037844387,0,17,3,100,0
2024,1,17,10,50,2,01,0.49999999999999994,-0.8660254037844387,-0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0,17,3,100,0
2024,1,17,11,0,2,01,0.258819045102521,-0.9659258262890682,0.0,1.0,0.49999999999999994,0.8660254037844387,0,17,3,121,0
2024,1,17,11,10,2,01,0.258819045102521,-0.9659258262890682,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0,17,3,121,0
2024,1,17,11,20,2,01,0.258819045102521,-0.9659258262890682,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387,0,17,3,121,0
2024,1,17,11,30,2,01,0.258819045102521,-0.9659258262890682,5.66553889764798e-16,-1.0,0.49999999999999994,0.8660254037844387,0,17,3,121,0
2024,1,17,11,40,2,01,0.258819045102521,-0.9659258262890682,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,0.8660254037844387,0,17,3,121,0
2024,1,17,11,50,2,01,0.258819045102521,-0.9659258262890682,-0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0,17,3,121,0
2024,1,17,12,0,2,01,1.2246467991473532e-16,-1.0,0.0,1.0,0.49999999999999994,0.8660254037844387,0,17,3,144,1
2024,1,17,12,10,2,01,1.2246467991473532e-16,-1.0,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0,17,3,144,1
2024,1,17,12,20,2,01,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387,0,17,3,144,1
2024,1,17,12,30,2,01,1.2246467991473532e-16,-1.0,5.66553889764798e-16,-1.0,0.49999999999999994,0.8660254037844387,0,17,3,144,1
2024,1,17,12,40,2,01,1.2246467991473532e-16,-1.0,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,0.8660254037844387,0,17,3,144,1
2024,1,17,12,50,2,01,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0,17,3,144,1
2024,1,17,13,0,2,01,-0.2588190451025208,-0.9659258262890683,0.0,1.0,0.49999999999999994,0.8660254037844387,0,17,3,169,1
2024,1,17,13,10,2,01,-0.2588190451025208,-0.9659258262890683,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0,17,3,169,1
2024,1,17,13,20,2,01,-0.2588190451025208,-0.9659258262890683,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387,0,17,3,169,1
2024,1,17,13,30,2,01,-0.2588190451025208,-0.9659258262890683,5.66553889764798e-16,-1.0,0.49999999999999994,0.8660254037844387,0,17,3,169,1
2024,1,17,13,40,2,01,-0.2588190451025208,-0.9659258262890683,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,0.8660254037844387,0,17,3,169,1
2024,1,17,13,50,2,01,-0.2588190451025208,-0.9659258262890683,-0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0,17,3,169,1
2024,1,17,14,0,2,01,-0.4999999999999997,-0.8660254037844388,0.0,1.0,0.49999999999999994,0.8660254037844387,0,17,3,196,1
2024,1,17,14,10,2,01,-0.4999999999999997,-0.8660254037844388,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0,17,3,196,1
2024,1,17,14,20,2,01,-0.4999999999999997,-0.8660254037844388,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387,0,17,3,196,1
2024,1,17,14,30,2,01,-0.4999999999999997,-0.8660254037844388,5.66553889764798e-16,-1.0,0.49999999999999994,0.8660254037844387,0,17,3,196,1
2024,1,17,14,40,2,01,-0.4999999999999997,-0.8660254037844388,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,0.8660254037844387,0,17,3,196,1
2024,1,17,14,50,2,01,-0.4999999999999997,-0.8660254037844388,-0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0,17,3,196,1
2024,1,17,15,0,2,01,-0.7071067811865471,-0.7071067811865479,0.0,1.0,0.49999999999999994,0.8660254037844387,0,17,3,225,1
2024,1,17,15,10,2,01,-0.7071067811865471,-0.7071067811865479,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0,17,3,225,1
2024,1,17,15,20,2,01,-0.7071067811865471,-0.7071067811865479,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387,0,17,3,225,1
2024,1,17,15,30,2,01,-0.7071067811865471,-0.7071067811865479,5.66553889764798e-16,-1.0,0.49999999999999994,0.8660254037844387,0,17,3,225,1
2024,1,17,15,40,2,01,-0.7071067811865471,-0.7071067811865479,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,0.8660254037844387,0,17,3,225,1
2024,1,17,15,50,2,01,-0.7071067811865471,-0.7071067811865479,-0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0,17,3,225,1
2024,1,17,16,0,2,01,-0.8660254037844385,-0.5000000000000004,0.0,1.0,0.49999999999999994,0.8660254037844387,0,17,3,256,1
2024,1,17,16,10,2,01,-0.8660254037844385,-0.5000000000000004,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0,17,3,256,1
2024,1,17,16,20,2,01,-0.8660254037844385,-0.5000000000000004,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387,0,17,3,256,1
2024,1,17,16,30,2,01,-0.8660254037844385,-0.5000000000000004,5.66553889764798e-16,-1.0,0.49999999999999994,0.8660254037844387,0,17,3,256,1
2024,1,17,16,40,2,01,-0.8660254037844385,-0.5000000000000004,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,0.8660254037844387,0,17,3,256,1
2024,1,17,16,50,2,01,-0.8660254037844385,-0.5000000000000004,-0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0,17,3,256,1
2024,1,19,9,0,4,01,0.7071067811865476,-0.7071067811865475,0.0,1.0,0.49999999999999994,0.8660254037844387,0,19,3,81,0
