序號,答案
20240117090001,286.4332733370181
20240117091001,262.9511519473895
20240117092001,319.3070444538997
20240117093001,324.78309000876277
20240117094001,322.19444670299976
20240117095001,391.053153170835
20240117100001,357.76861949987125
20240117101001,311.56225482600644
20240117102001,327.7152968066417
20240117103001,302.44802386332896
20240117104001,310.72175661406214
20240117105001,377.8706676564333
20240117110001,379.5926820615918
20240117111001,323.7637822123451
20240117112001,298.1258536902328
20240117113001,306.99231468046196
20240117114001,311.1746064309495
20240117115001,326.3900091824707
20240117120001,318.04640778020706
20240117121001,280.5234790893789
20240117122001,218.75907075744544
20240117123001,190.14777904576886
20240117124001,259.15335854385484
20240117125001,325.7701037869448
20240117130001,396.07887432930596
20240117131001,316.22209687233124
20240117132001,298.8179170473572
20240117133001,249.9890372191346
20240117134001,258.85143437404065
20240117135001,299.6140730196821
20240117140001,269.37030609231545
20240117141001,207.5534395485673
20240117142001,159.11508513930048
20240117143001,112.30911853836872
20240117144001,122.6016287009709
20240117145001,178.65585003841593
20240117150001,322.8623813612271
20240117151001,167.35526992773887
20240117152001,78.50071588761821
20240117153001,34.90554376877689
20240117154001,32.60376324681163
20240117155001,66.9252674002444
20240117160001,14.080311829414633
20240117161001,9.914660693521824
20240117162001,9.246758140325955
20240117163001,7.221320823554086
20240117164001,6.047838563832649
20240117165001,6.104514623509704
20240119090001,340.0833548006228
20240119091001,365.11451085247705
20240119092001,378.0256980295667
20240119093001,404.0919724208758
20240119094001,403.63988533783527
20240119095001,493.53357078813207
20240119100001,565.6827258824559
20240119101001,573.1830305320278
20240119102001,654.8190639880788
20240119103001,806.4352044353013
20240119104001,896.8119643242304
20240119105001,835.1420096549066
20240119110001,1080.1018656998833
20240119111001,809.10076736963
20240119112001,894.3751715466435
20240119113001,944.9457265198728
20240119114001,900.7779851399405
20240119115001,1024.6942901890734
20240119120001,872.2980556042531
20240119121001,869.670678420594
20240119122001,894.9892575151771
20240119123001,933.6683301853853
20240119124001,883.0999865885705
20240119125001,959.9623496508594
20240119130001,958.9251880733667
20240119131001,956.8244368774294
20240119132001,859.3836001577428
20240119133001,949.3794708907528
20240119134001,733.3480820834676
20240119135001,705.8786314887974
20240119140001,764.9183738313396
20240119141001,795.3557476930436
20240119142001,895.6234599331118
20240119143001,974.8630488808607
20240119144001,732.4351704808175
20240119145001,715.9557961113319
20240119150001,220.41162008399272
20240119151001,173.05889254093995
20240119152001,137.02812297045466
20240119153001,62.9187363829162
20240119154001,38.18499900409531
20240119155001,52.492724187851486
20240119160001,22.981187226538623
20240119161001,14.359102345258595
20240119162001,9.850273624786409
20240119163001,6.022988825627515
20240119164001,4.538053746606379
20240119165001,4.0813522734363925
20240224090001,25.12504375026013
20240224091001,30.202332938395262
20240224092001,32.31678664769695
20240224093001,30.349220244579183
20240224094001,35.09756823316404
20240224095001,45.22075291798543
20240224100001,52.38441258138225
20240224101001,57.16972392719879
20240224102001,52.652922411898
20240224103001,60.710580686293696
20240224104001,56.268452023500224
20240224105001,59.408074625836385
